pk,jsondata,id,name,description,markup_description,latitude,longitude
116,{},jur,Jurúna,,,-10.93541,-53.34717
117,{},pnk,Paunaca,,,-16.770833,-61.454167
118,{},knm,Katukína-Kanamarí,,,-6.45399,-68.7678
119,{},gae,Guarequena,,,1.80835,-66.922505
120,{},tfr,Teribe,,,9.067,-82.96313
121,{},gqn,Guana (Brazil),,,-19.16665,-54.03332
122,{},tnq,Taino,,,18.283605,-66.8042
123,{},cas,Mosetén,,,-14.64448,-67.83756
124,{},mtp,Wichí Lhamtés Nocten,,,-21.987995,-63.59711
125,{},des,Desano,,,0.58157,-69.495545
126,{},caw,Callawalla,,,-15.88451,-68.10176
127,{},cav,Cavineña,,,-13.35441,-66.62773
128,{},ktn,Karitiâna,,,-9.37937,-64.15219
129,{},cab,Garifuna,,,15.3528675,-86.9090575
130,{},ayr,Central Aymara,,,-17,-68.5
131,{},xwa,Kwaza,,,-11.6666666667,-61.1833333333
132,{},cbg,Chimila,,,10.19016,-74.25585
133,{},pio,Piapoco,,,4.37718,-68.595285
134,{},myr,Muniche,,,-5.80546,-76.28113
135,{},inp,Iñapari,,,-12.46525,-69.30827
136,{},sae,Sabanê,,,-12.98572,-60.33498
137,{},tpj,Tapieté,,,-21.4168866667,-62.68397
138,{},cbr,Cashibo-Cacataibo,,,-8.70232,-75.42062
139,{},tae,Tariana,,,0.440205,-68.904165
140,{},prq,Ashéninka Perené,,,-10.97772,-74.91528
141,{},cbt,Shawi,,,-5.63764,-76.82525
142,{},spa,Spanish,,,40.4414175,-1.11788
143,{},sar,Saraveca,,,-11.94232,-65.39446
144,{},wmd,Mamaindé,,,-12.986439,-60.101072
145,{},inb,Inga,,,1.00313,-76.86062
146,{},pap,Papiamento,,,12.48485,-69.93988
147,{},pav,Wari,,,-10.69948,-64.56152
148,{},pay,Pech,,,15.80331,-85.55802
149,{},qwh,Huaylas Ancash Quechua,,,-9.38709,-77.77681
150,{},pab,Parecís,,,-14.59295,-57.40595
151,{},NOCODE_Maipure,Maipure,,,4.8,-67.5
152,{},miq,Mískito,,,15.157575,-84.294175
153,{},ign,Ignaciano,,,-15.11882,-65.39934
154,{},lao,Lao,,,16.07262,104.56848
155,{},mzp,Movima,,,-13.81152,-65.63482
156,{},mav,Sateré-Mawé,,,-3.63897,-56.87489
157,{},snn,Siona-Tetete,,,0.31733,-76.02367
158,{},wyr,Wayoró,,,-12.69447,-61.30635
159,{},kay,Kamayurá,,,-12.26606,-53.46514
160,{},ure,Uru,,,-16.72547,-68.97119
161,{},sja,Epena,,,4.258768,-77.356568
162,{},ura,Urarina,,,-4.44006,-75.42107
163,{},jup,Hupdë,,,0.58622,-69.835915
164,{},mpu,Makuráp,,,-11.87014,-64.32007
165,{},tpy,Trumai,,,-11.81195,-53.5717
166,{},agr,Aguaruna,,,-5.30044,-77.92179
167,{},ccc,Chamicuro,,,-5.1149,-75.67785
