pk,jsondata,id,name,description,markup_description
1,{},npnominaltam,NP-Nominal TAM,,
2,{},npindefinitepronouns,NP-Indefinite pronouns,,
3,{},icstablecontent,IC-stable-content,,
4,{},npwordordernounphrase,NP-Word order (Noun Phrase),,
5,{},tenseaspectmoodevidentiality,Tense-Aspect-Mood-Evidentiality,,
6,{},icunstablecontent,IC-unstable-content,,
7,{},npadpositions,NP-Adpositions,,
8,{},npnominalization,NP-Nominalization,,
9,{},foothillsspecial,Foothills-special,,
10,{},argumentmarking,Argument Marking,,
11,{},npattributivepossession,NP-Attributive possession,,
12,{},npgrammaticalexpressionofquantitymarkedonthenoun,NP-Grammatical expression of quantity (marked on the noun),,
13,{},npcopula,NP-Copula,,
14,{},npwordordermainclause,NP-Word order (main clause),,
15,{},icstabletemplate,IC-stable-template,,
16,{},nparticlesdemonstratives,"NP-Articles, demonstratives",,
17,{},arawakanspecific,Arawakan-specific,,
18,{},npnumerals,NP-Numerals,,
19,{},npnouncategorizationdevice,NP-Noun categorization device,,
20,{},icunstabletemplate,IC-unstable-template,,
21,{},npagreementwithinthenp,NP-Agreement within the NP,,
22,{},npfreepersonalpronouns,NP-Free personal pronouns,,
23,{},andeanspecific,Andean-specific,,
24,{},npadjectivespropertywords,NP-Adjectives/property words,,
