pk,jsondata,id,name,description,markup_description
1,"{""icon"": ""c000000""}",Chocoan,Chocoan,,
2,"{""icon"": ""tcccccc""}",Taushiro,Taushiro,,
3,"{""icon"": ""tcccccc""}",Mixed Language,Mixed Language,,
4,"{""icon"": ""c990099""}",Guaicuruan,Guaicuruan,,
5,"{""icon"": ""tcccccc""}",Katukinan,Katukinan,,
6,"{""icon"": ""tcccccc""}",Kanoe,Kanoe,,
7,"{""icon"": ""tcccccc""}",Yanomamic,Yanomamic,,
8,"{""icon"": ""ccccccc""}",Arawakan,Arawakan,,
9,"{""icon"": ""cff66ff""}",Chonan,Chonan,,
10,"{""icon"": ""cffffff""}",Zamucoan,Zamucoan,,
11,"{""icon"": ""tcccccc""}",Muniche,Muniche,,
12,"{""icon"": ""tcccccc""}",Warao,Warao,,
13,"{""icon"": ""tcccccc""}",Cahuapanan,Cahuapanan,,
14,"{""icon"": ""tcccccc""}",Kwaza,Kwaza,,
15,"{""icon"": ""tcccccc""}",Yurakare,Yurakare,,
16,"{""icon"": ""tcccccc""}",Boran,Boran,,
17,"{""icon"": ""d66ff33""}",Matacoan,Matacoan,,
18,"{""icon"": ""tcccccc""}",Puelche,Puelche,,
19,"{""icon"": ""tcccccc""}",Tai-Kadai,Tai-Kadai,,
20,"{""icon"": ""tcccccc""}",Chapacuran,Chapacuran,,
21,"{""icon"": ""daa0000""}",Zaparoan,Zaparoan,,
22,"{""icon"": ""tcccccc""}",Arawan,Arawan,,
23,"{""icon"": ""dff6600""}",Barbacoan,Barbacoan,,
24,"{""icon"": ""dffffcc""}",Tucanoan,Tucanoan,,
25,"{""icon"": ""f009900""}",Quechuan,Quechuan,,
26,"{""icon"": ""tcccccc""}",Urarina,Urarina,,
27,"{""icon"": ""tcccccc""}",Paez,Paez,,
28,"{""icon"": ""f99ffff""}",Cariban,Cariban,,
29,"{""icon"": ""fff4400""}",Indo-European,Indo-European,,
30,"{""icon"": ""tcccccc""}",Itonama,Itonama,,
31,"{""icon"": ""tcccccc""}",Bororoan,Bororoan,,
32,"{""icon"": ""tcccccc""}",Hibito-Cholon,Hibito-Cholon,,
33,"{""icon"": ""fffff00""}",Nambiquaran,Nambiquaran,,
34,"{""icon"": ""tcccccc""}",Guato,Guato,,
35,"{""icon"": ""tcccccc""}",Jicaquean,Jicaquean,,
36,"{""icon"": ""s0000dd""}",Aymaran,Aymaran,,
37,"{""icon"": ""s9999ff""}",Nadahup,Nadahup,,
38,"{""icon"": ""tcccccc""}",Araucanian,Araucanian,,
39,"{""icon"": ""tcccccc""}",Puinave,Puinave,,
40,"{""icon"": ""sdd0000""}",Uru-Chipaya,Uru-Chipaya,,
41,"{""icon"": ""sffcc00""}",Chicham,Chicham,,
42,"{""icon"": ""t000000""}",Tupian,Tupian,,
43,"{""icon"": ""tcccccc""}",Harakmbut,Harakmbut,,
44,"{""icon"": ""tcccccc""}",Mochica,Mochica,,
45,"{""icon"": ""tcccccc""}",Movima,Movima,,
46,"{""icon"": ""tcccccc""}",Cofan,Cofan,,
47,"{""icon"": ""tcccccc""}",Turkic,Turkic,,
48,"{""icon"": ""tcccccc""}",Leko,Leko,,
49,"{""icon"": ""tcccccc""}",Waorani,Waorani,,
50,"{""icon"": ""t990099""}",Nuclear-Macro-Je,Nuclear-Macro-Je,,
51,"{""icon"": ""tcccccc""}",Moseten-Chimane,Moseten-Chimane,,
52,"{""icon"": ""tcccccc""}",Misumalpan,Misumalpan,,
53,"{""icon"": ""tcccccc""}",Chibchan,Chibchan,,
54,"{""icon"": ""tff66ff""}",Pano-Tacanan,Pano-Tacanan,,
55,"{""icon"": ""tcccccc""}",Trumai,Trumai,,
