pk,jsondata,name,description,markup_description,id,type,lang
1,{},ito,Itonama,,ito,iso639-3,en
3,{},qvn,North Junín Quechua,,qvn,iso639-3,en
5,{},bvv,Baniva,,bvv,iso639-3,en
7,{},kbc,Kadiwéu,,kbc,iso639-3,en
9,{},qvc,Cajamarca Quechua,,qvc,iso639-3,en
11,{},qvp,Pacaraos Quechua,,qvp,iso639-3,en
13,{},qvi,Imbabura Highland Quichua,,qvi,iso639-3,en
15,{},yvt,Yavitero,,yvt,iso639-3,en
17,{},gta,Guató,,gta,iso639-3,en
19,{},rgr,Resígaro,,rgr,iso639-3,en
21,{},jic,Tol,,jic,iso639-3,en
23,{},lkd,Lakondê,,lkd,iso639-3,en
25,{},jiv,Shuar,,jiv,iso639-3,en
27,{},skf,Sakirabia,,skf,iso639-3,en
29,{},cub,Cubeo,,cub,iso639-3,en
31,{},cuk,San Blas Kuna,,cuk,iso639-3,en
33,{},cuj,Mashco Piro,,cuj,iso639-3,en
35,{},jaa,Jamamadí,,jaa,iso639-3,en
37,{},ceg,Chamacoco,,ceg,iso639-3,en
39,{},guc,Wayuu,,guc,iso639-3,en
41,{},kxo,Kanoê,,kxo,iso639-3,en
43,{},hix,Hixkaryána,,hix,iso639-3,en
45,{},ame,Yanesha',,ame,iso639-3,en
47,{},wba,Warao,,wba,iso639-3,en
49,{},not,Nomatsiguenga,,not,iso639-3,en
51,{},amr,Amarakaeri,,amr,iso639-3,en
53,{},jqr,Jaqaru,,jqr,iso639-3,en
55,{},eme,Emerillon,,eme,iso639-3,en
57,{},myu,Mundurukú,,myu,iso639-3,en
59,{},qxl,Salasaca Highland Quichua,,qxl,iso639-3,en
61,{},crb,Island Carib,,crb,iso639-3,en
63,{},iqu,Iquito,,iqu,iso639-3,en
65,{},shb,Ninam,,shb,iso639-3,en
67,{},kpc,Curripaco,,kpc,iso639-3,en
69,{},emp,Northern Emberá,,emp,iso639-3,en
71,{},pbb,Páez,,pbb,iso639-3,en
73,{},trr,Taushiro,,trr,iso639-3,en
75,{},pbh,Panare,,pbh,iso639-3,en
77,{},teh,Tehuelche,,teh,iso639-3,en
79,{},arr,Karo (Brazil),,arr,iso639-3,en
81,{},cap,Chipaya,,cap,iso639-3,en
83,{},arw,Lokono,,arw,iso639-3,en
85,{},qus,Santiago del Estero Quichua,,qus,iso639-3,en
87,{},sey,Secoya,,sey,iso639-3,en
89,{},rma,Rama,,rma,iso639-3,en
91,{},arh,Arhuaco,,arh,iso639-3,en
93,{},ter,Tereno,,ter,iso639-3,en
95,{},arl,Arabela,,arl,iso639-3,en
97,{},arn,Mapudungun,,arn,iso639-3,en
99,{},rey,Reyesano,,rey,iso639-3,en
101,{},gvo,Gavião Do Jiparaná,,gvo,iso639-3,en
103,{},quy,Ayacucho Quechua,,quy,iso639-3,en
105,{},ese,Ese Ejja,,ese,iso639-3,en
107,{},bae,Baré,,bae,iso639-3,en
109,{},ycn,Yucuna,,ycn,iso639-3,en
111,{},qux,Huangascar-Topara-Yauyos Quechua,,qux,iso639-3,en
113,{},zro,Záparo,,zro,iso639-3,en
115,{},qvs,San Martín Quechua,,qvs,iso639-3,en
117,{},cni,Asháninka,,cni,iso639-3,en
119,{},omc,Mochica,,omc,iso639-3,en
121,{},qup,Southern Pastaza Quechua,,qup,iso639-3,en
123,{},plu,Palikúr,,plu,iso639-3,en
125,{},lec,Leco,,lec,iso639-3,en
127,{},pui,Puinave,,pui,iso639-3,en
129,{},quw,Tena Lowland Quichua,,quw,iso639-3,en
131,{},moc,Mocoví,,moc,iso639-3,en
133,{},pue,Puelche,,pue,iso639-3,en
135,{},tur,Turkish,,tur,iso639-3,en
137,{},quz,Cusco Quechua,,quz,iso639-3,en
139,{},auc,Waorani,,auc,iso639-3,en
141,{},plg,Pilagá,,plg,iso639-3,en
143,{},qub,Huallaga Huánuco Quechua,,qub,iso639-3,en
145,{},mmh,Mehináku,,mmh,iso639-3,en
147,{},quh,South Bolivian Quechua,,quh,iso639-3,en
149,{},aca,Achagua,,aca,iso639-3,en
151,{},yuz,Yuracaré,,yuz,iso639-3,en
153,{},yuq,Yuqui,,yuq,iso639-3,en
155,{},cox,Nanti,,cox,iso639-3,en
157,{},bor,Bororo,,bor,iso639-3,en
159,{},qxw,Jauja Wanca Quechua,,qxw,iso639-3,en
161,{},tri,Trió,,tri,iso639-3,en
163,{},cod,Cocama-Cocamilla,,cod,iso639-3,en
165,{},acu,Achuar-Shiwiar,,acu,iso639-3,en
167,{},cof,Tsafiki,,cof,iso639-3,en
169,{},boa,Bora,,boa,iso639-3,en
171,{},unk,Enawené-Nawé,,unk,iso639-3,en
173,{},con,Cofán,,con,iso639-3,en
175,{},kwa,Dâw,,kwa,iso639-3,en
177,{},apy,Apalaí,,apy,iso639-3,en
179,{},txi,Ikpeng,,txi,iso639-3,en
181,{},kwi,Awa-Cuaiquer,,kwi,iso639-3,en
183,{},ona,Selk'nam,,ona,iso639-3,en
185,{},apu,Apurinã,,apu,iso639-3,en
187,{},xav,Xavánte,,xav,iso639-3,en
189,{},rkb,Rikbaktsa,,rkb,iso639-3,en
191,{},rus,Russian,,rus,iso639-3,en
193,{},brg,Baure,,brg,iso639-3,en
195,{},mbp,Malayo,,mbp,iso639-3,en
197,{},awe,Awetí,,awe,iso639-3,en
199,{},ayo,Ayoreo,,ayo,iso639-3,en
201,{},yrl,Nhengatu,,yrl,iso639-3,en
203,{},shp,Shipibo-Conibo,,shp,iso639-3,en
205,{},ayc,Southern Aymara,,ayc,iso639-3,en
207,{},cht,Cholón,,cht,iso639-3,en
209,{},tob,Toba,,tob,iso639-3,en
211,{},wau,Waurá,,wau,iso639-3,en
213,{},yaa,Yaminahua,,yaa,iso639-3,en
215,{},wap,Wapishana,,wap,iso639-3,en
217,{},kgp,Kaingang,,kgp,iso639-3,en
219,{},ram,Canela,,ram,iso639-3,en
221,{},mcf,Matsés,,mcf,iso639-3,en
223,{},gym,Ngäbere,,gym,iso639-3,en
225,{},mcb,Machiguenga,,mcb,iso639-3,en
227,{},mca,Maca,,mca,iso639-3,en
229,{},jur,Jurúna,,jur,iso639-3,en
231,{},pnk,Paunaca,,pnk,iso639-3,en
232,{},knm,Katukína-Kanamarí,,knm,iso639-3,en
234,{},gae,Guarequena,,gae,iso639-3,en
236,{},tfr,Teribe,,tfr,iso639-3,en
238,{},gqn,Guana (Brazil),,gqn,iso639-3,en
240,{},tnq,Taino,,tnq,iso639-3,en
242,{},cas,Mosetén,,cas,iso639-3,en
