pk,jsondata,id,name,description,markup_description,glottolog_id,google_book_search_id,bibtex_type,author,year,title,type,booktitle,editor,pages,edition,journal,school,address,url,note,number,series,volume,publisher,organization,chapter,howpublished,year_int,startpage_int,pages_int
9,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""subtitle"": ""word order, possession, and nominal discontinuity"", ""language"": ""en"", ""pageCount"": 352, ""previewLink"": ""http://books.google.de/books?id=SoXVpwAACAAJ&dq=inauthor:Mark+C.+Brown+intitle:Topics+in+Iquito+Syntax:+Word+Order,+Possession,+and+Nominal+Discontinuity&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2004"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:55704965"", ""type"": ""OTHER""}], ""authors"": [""Mark C. Brown""], ""title"": ""Topics in Iquito syntax"", ""infoLink"": ""http://books.google.de/books?id=SoXVpwAACAAJ&dq=inauthor:Mark+C.+Brown+intitle:Topics+in+Iquito+Syntax:+Word+Order,+Possession,+and+Nominal+Discontinuity&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""http://books.google.de/books/about/Topics_in_Iquito_syntax.html?hl=&id=SoXVpwAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""d2/4TctSU+8"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=SoXVpwAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""SoXVpwAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/SoXVpwAACAAJ""}}",sbrowniquito,Brown 2004,"Topics in Iquito Syntax: Word Order, Possession, and Nominal Discontinuity",,,SoXVpwAACAAJ,mastersthesis,"Brown, Mark C.",2004,"Topics in Iquito Syntax: Word Order, Possession, and Nominal Discontinuity",,,,100,,,University of Texas at Austin,Austin,\url{http://www.ailla.utexas.org/search/resource.html?r_id=880},,,,,,,,,,,
10,"{""gbs"": {}}",gsekikamaiura,Seki 2000,Gramática Kamaiurá: Língua Tupi-Guarani do Alto Xingu,,,,book,"Seki, Lucy",2000,Gramática Kamaiurá: Língua Tupi-Guarani do Alto Xingu,,,,519,,,,,,,,,,Campinas: Editora Unicamp,,,,,,
11,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""subtitle"": ""With Special Reference to the Polysynthesis Parameter"", ""language"": ""en"", ""pageCount"": 137, ""imageLinks"": {""smallThumbnail"": ""http://bks0.books.google.de/books?id=IwEbAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks0.books.google.de/books?id=IwEbAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=IwEbAQAAIAAJ&q=inauthor:Sandalo,+Maria+Filomena+intitle:A+Grammar+of+Kadiweu&dq=inauthor:Sandalo,+Maria+Filomena+intitle:A+Grammar+of+Kadiweu&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1997"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""STANFORD:36105110381048"", ""type"": ""OTHER""}], ""authors"": [""Filomena Sandalo""], ""title"": ""A Grammar of Kadiw\u00e9u"", ""infoLink"": ""http://books.google.de/books?id=IwEbAQAAIAAJ&dq=inauthor:Sandalo,+Maria+Filomena+intitle:A+Grammar+of+Kadiweu&hl=&source=gbs_api"", ""categories"": [""Caduveo language""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Grammar_of_Kadiw%C3%A9u.html?hl=&id=IwEbAQAAIAAJ""}, ""searchInfo"": {""textSnippet"": ""With Special Reference to the Polysynthesis Parameter <b>Filomena</b> Sandalo. 4. <br>\nMorphosyntax 4.1. Constituent Order and Clause Types In this section I present <br>\nan overview of <b>Kadiweu</b> syntax. ... SVO. and VSO: ( 140 ) <b>Maria</b> n:adi Gatodi. <br>\n<b>Maria</b>&nbsp;...""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""5z77VFZpPkw"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=IwEbAQAAIAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""IwEbAQAAIAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/IwEbAQAAIAAJ""}}",gsandalokadiweu1995,Sandalo 1995,A Grammar of Kadiweu,,,IwEbAQAAIAAJ,phdthesis,"Sandalo, Maria Filomena",1995,A Grammar of Kadiweu,,,,291,,,University of Pittsburgh,,,,,,,,,,,,,
12,"{""gbs"": {}}",gterrazawichi,Terraza 2009,Grammaire du Wichí: Phonologie et Morphosyntaxe,,,,phdthesis,"Terraza, Jimena",2009,Grammaire du Wichí: Phonologie et Morphosyntaxe,,,,295,,,Université du Québec à Montréal,,,,,,,,,,,,,
13,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 597, ""previewLink"": ""http://books.google.de/books?id=NcTJPgAACAAJ&dq=inauthor:Katharina+Haude+intitle:A+Grammar+of+Movima&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2006"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""9090203168"", ""type"": ""ISBN_10""}, {""identifier"": ""9789090203164"", ""type"": ""ISBN_13""}], ""authors"": [""Katharina Haude""], ""title"": ""A Grammar of Movima"", ""infoLink"": ""http://books.google.de/books?id=NcTJPgAACAAJ&dq=inauthor:Katharina+Haude+intitle:A+Grammar+of+Movima&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Grammar_of_Movima.html?hl=&id=NcTJPgAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""LmAVyJbInGw"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=NcTJPgAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""NcTJPgAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/NcTJPgAACAAJ""}}",ghaudemovima,Haude 2006,A Grammar of Movima,,,NcTJPgAACAAJ,phdthesis,"Haude, Katharina",2006,A Grammar of Movima,,,,xvii+597,,,Nijmegen: Radboud Universiteit,Zetten,\url{http://linguistlist.org/pubs/diss/browse-diss-action.cfm?DissID=12438},,,,,,,,,,,
14,"{""gbs"": {}}",gnajlisselknam,Najlis 1973,Lengua Selknam,,,,book,"Najlis, Elena L.",1973,Lengua Selknam,,,,124,,,,Buenos Aires,,,,,,"Buenos Aires: Instituto de Filología y Lingüística, Universidad del Salvador",,,,,,
15,"{""gbs"": {}}",sguillaumemaropa,Guillaume 2012,Maropa (Reyesano),,,,incollection,"Guillaume, Antoine",2012,Maropa (Reyesano),,Ambito Andino,"Crevels, Mily and Muysken, Pieter",191-232,,,,,,,,Lenguas de Bolivia,2,La Paz: Plural Editores,,,,,,
16,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""description"": ""This is a comprehensive reference grammar of Tariana, an endangered Arawak language from a remote region in the northwest Amazonian jungle. Its speakers traditionally marry someone speaking a different language, and as a result most people are fluent in five or six languages. Because of this rampant multilingualism, Tariana combines a number of features inherited from the protolanguage with properties diffused from neighbouring but unrelated Tucanoan languages. Typologically unusual features of the language include: an array of classifiers independent of genders, complex serial verbs, case marking depending on the topicality of a noun, and double marking of case and of number. Tariana has obligatory evidentiality: every sentence contains a special element indicating whether the information was seen, heard, or inferred by the speaker, or whether the speaker acquired it from somebody else. This grammar will be a valuable source-book for linguists and others interested in natural languages."", ""language"": ""en"", ""pageCount"": 732, ""imageLinks"": {""smallThumbnail"": ""http://bks0.books.google.de/books?id=WaALAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks0.books.google.de/books?id=WaALAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=WaALAQAAMAAJ&q=inauthor:Alexandra+Aikhenvald+intitle:A+grammar+of+Tariana,+from+northwest+Amazonia+inpublisher:Cambridge+University+Press&dq=inauthor:Alexandra+Aikhenvald+intitle:A+grammar+of+Tariana,+from+northwest+Amazonia+inpublisher:Cambridge+University+Press&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2006-11-02"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""0521028868"", ""type"": ""ISBN_10""}, {""identifier"": ""9780521028868"", ""type"": ""ISBN_13""}], ""authors"": [""Alexandra Y. Aikhenvald"", ""Aleksandra I\ufe20U\ufe21r\u02b9evna A\u012dkhenval\u02b9d""], ""title"": ""A Grammar of Tariana, from Northwest Amazonia"", ""infoLink"": ""http://books.google.de/books?id=WaALAQAAMAAJ&dq=inauthor:Alexandra+Aikhenvald+intitle:A+grammar+of+Tariana,+from+northwest+Amazonia+inpublisher:Cambridge+University+Press&hl=&source=gbs_api"", ""categories"": [""Foreign Language Study""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Grammar_of_Tariana_from_Northwest_Amaz.html?hl=&id=WaALAQAAMAAJ""}, ""searchInfo"": {""textSnippet"": ""This is a comprehensive reference grammar of Tariana, an endangered Arawak language from a remote region in the northwest Amazonian jungle.""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""Nilm5uLPHMs"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=WaALAQAAMAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""WaALAQAAMAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/WaALAQAAMAAJ""}}",gaikhenvaldtariana,Aikhenvald 2003,"A grammar of Tariana, from northwest Amazonia",,,WaALAQAAMAAJ,book,"Aikhenvald, Alexandra",2003,"A grammar of Tariana, from northwest Amazonia",,,,xxiv+705,,,,,\url{http://print.google.com/print?id=n4EwdpczyP8C},,,Cambridge Grammatical Descriptions,,Cambridge University Press,,,,,,
32,"{""gbs"": {}}",genfieldlao,Enfield 2007,A grammar of Lao,,,,book,"Enfield, Nick J.",2007,A grammar of Lao,,,,xxvii+567,,,,New York,,,,Mouton grammar library,38,New York: Mouton de Gruyter,,,,,,
33,"{""gbs"": {}}",glimalatunde,Telles de Araujo Pereira Lima 2002,Fonologia e gramática Latundê/Lakondê,,,,phdthesis,"Telles de Araujo Pereira Lima, Stella",2002,Fonologia e gramática Latundê/Lakondê,,,,xiii+398,,,Amsterdam: Vrije Universiteit,,,"Phonology of Latundê [ltn], grammar of Lakondê [lkd]",,,,,,,,,,
34,"{""gbs"": {}}",gfleckmatses,Fleck 2003,A Grammar of Matses,,,,phdthesis,"Fleck, David W.",2003,A Grammar of Matses,,,,1279,,,Houston: Rice University,,,,,,,,,,,,,
35,"{""gbs"": {}}",ggrondonamocovi,Grondona 1998,A Grammar of Mocovi,,,,phdthesis,"Grondona, Verónica M.",1998,A Grammar of Mocovi,,,,xi+309,,,University of Pittsburgh,Ann Arbor,,,,,,,,,,,,
36,"{""gbs"": {}}",hvstoreroandes,Torero Fernández de Cordoba 2002,Idiomas de los Andes: Lingüística e Historia,,,,book,"Torero Fernández de Cordoba, Alfredo",2002,Idiomas de los Andes: Lingüística e Historia,,,,565,,,,,,,,,,Lima: Editorial Horizonte,,,,,,
