pk,jsondata,id,name,description,markup_description,glottolog_id,google_book_search_id,bibtex_type,author,year,title,type,booktitle,editor,pages,edition,journal,school,address,url,note,number,series,volume,publisher,organization,chapter,howpublished,year_int,startpage_int,pages_int
17,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 452, ""imageLinks"": {""smallThumbnail"": ""http://bks8.books.google.de/books?id=BdQaAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks8.books.google.de/books?id=BdQaAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=BdQaAQAAIAAJ&q=inauthor:Raquel+Guirardello+intitle:A+Reference+Grammar+of+Trumai&dq=inauthor:Raquel+Guirardello+intitle:A+Reference+Grammar+of+Trumai&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1999"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""STANFORD:36105119948029"", ""type"": ""OTHER""}], ""authors"": [""Raquel Guirardello""], ""title"": ""A reference grammar of Trumai"", ""infoLink"": ""http://books.google.de/books?id=BdQaAQAAIAAJ&dq=inauthor:Raquel+Guirardello+intitle:A+Reference+Grammar+of+Trumai&hl=&source=gbs_api"", ""categories"": [""History""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_reference_grammar_of_Trumai.html?hl=&id=BdQaAQAAIAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""X2Gb72Hyuvs"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=BdQaAQAAIAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""BdQaAQAAIAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/BdQaAQAAIAAJ""}}",gguirardellotrumai,Guirardello 1999,A Reference Grammar of Trumai,,,BdQaAQAAIAAJ,phdthesis,"Guirardello, Raquel",1999,A Reference Grammar of Trumai,,,,xxiii+452,,,Houston: Rice University,"Houston, TX",\url{http://scholarship.rice.edu/handle/1911/19387},,,,,,,,,,,
18,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""subtitle"": ""A Northern Nambikwara Language and Its Cultural Context"", ""language"": ""en"", ""pageCount"": 604, ""previewLink"": ""http://books.google.de/books?id=z2reSAAACAAJ&dq=inauthor:David+M.+Eberhard+intitle:Mamaind%C3%AA+Grammar:+A+Northern+Nambikwara+language+and+its+cultural+context&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2009"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""9460930123"", ""type"": ""ISBN_10""}, {""identifier"": ""9789460930126"", ""type"": ""ISBN_13""}], ""authors"": [""David Eberhard""], ""title"": ""Mamaind\u00ea Grammar"", ""infoLink"": ""http://books.google.de/books?id=z2reSAAACAAJ&dq=inauthor:David+M.+Eberhard+intitle:Mamaind%C3%AA+Grammar:+A+Northern+Nambikwara+language+and+its+cultural+context&hl=&source=gbs_api"", ""categories"": [""Endangered languages""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Mamaind%C3%AA_Grammar.html?hl=&id=z2reSAAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""Jjm7gzQdwrI"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=z2reSAAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""z2reSAAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/z2reSAAACAAJ""}}",geberhardmamainde,Eberhard 2009,Mamaindê Grammar: A Northern Nambikwara language and its cultural context,,,z2reSAAACAAJ,phdthesis,"Eberhard, David M.",2009,Mamaindê Grammar: A Northern Nambikwara language and its cultural context,,,,608,,,Amsterdam: Vrije Universiteit,,,,,LOT Dissertation Series,210,,,,,,,
19,"{""gbs"": {}}",gvillafaneyuki,Villafañe 2004,Descripción de la lengua yuki,,,,phdthesis,"Villafañe, Lucrecia",2004,Descripción de la lengua yuki,,,,,,,Katholieke Universiteit Nijmegen,,,,,,,,,,,,,
20,"{""gbs"": {}}",shovdhaugenmochica,Hovdhaugen 2004,Mochica,,,,book,"Hovdhaugen, Even",2004,Mochica,,,,v+78,,,,,,,,Languages of the World/Materials,433,München: Lincom,,,,,,
21,"{""gbs"": {}}",gfacundesapurina,da Silva Facundes 2000,The Language of the Apurinã People of Brazil (Maipure/Arawak),,,,phdthesis,"da Silva Facundes, Sidney",2000,The Language of the Apurinã People of Brazil (Maipure/Arawak),,,,705,,,State University of New York at Buffalo,,,,,,,,,,,,,
22,"{""gbs"": {}}",gcerronpalominochipaya,Cerrón-Palomino 2006,El Chipaya o Lengua de los Hombres del Agua,,,,book,"Cerrón-Palomino, Rodolfo",2006,El Chipaya o Lengua de los Hombres del Agua,,,,xviii+309,,,,,,,,,,"Lima: Fondo Editorial, Pontificia Universidad Católica del Perú",,,,,,
23,"{""gbs"": {}}",gguillaumecavinena,Guillaume 2008,A grammar of Cavineña,,,,book,"Guillaume, Antoine",2008,A grammar of Cavineña,,,,xxiv+900,,,,Berlin,,,,Mouton Grammar Library,44,Berlin: Mouton de Gruyter,,,,,,
24,"{""gbs"": {}}",dgiraultkallawaya,Girault 1989,"Kallawaya ""el idioma secreto de los incas"": diccionario",,,,book,"Girault, Louis",1989,"Kallawaya ""el idioma secreto de los incas"": diccionario",,,,196,,,,Bolivia,,,,,,Bolivia: UNICEF/OPS/OMS,,,,,,
25,"{""gbs"": {}}",gmorsemaxwellcubeo,Morse and Maxwell 1999,Cubeo Grammar,,,,book,"Morse, Nancy L. and Maxwell, Michael B.",1999,Cubeo Grammar,,,,197,,,,,,Studies in the Indigenous Languages of Colombia 5,,Summer Institute of Linguistics: Publications in Linguistics,130,The Summer Institute of Linguistics and the University of Texas at Arlington,,,,,,
26,"{""gbs"": {}}",gmillerdesano,Miller 1999,Desano Grammar,,,,book,"Miller, Marion",1999,Desano Grammar,,,,192,,,,,,Studies in the Indigenous Languages of Colombia 6,,Summer Institute of Linguistics: Publications in Linguistics,132,The Summer Institute of Linguistics and the University of Texas at Arlington,,,,,,
27,"{""gbs"": {}}",smonguilevinsohninga,Monguí and Levinsohn 1974,Una gramática pedagógica del inga (primera parte),,,,book,"Monguí, Raul and Levinsohn, Stephen H.",1974,Una gramática pedagógica del inga (primera parte),,,,vii+85,,,,,http://www.sil.org/americas/colombia/pubs/abstract.asp?id=11421,,,,,Bogotá: Ministerio de Gobierno,,,,,,
28,"{""gbs"": {}}",ghardmanjaqaru1983,Hardman 1983,Jaqaru: Compendio de Estructura Fonológica y Morfológica,,,,book,"Hardman, Martha J.",1983,Jaqaru: Compendio de Estructura Fonológica y Morfológica,,,,266,,,,Peru,,,,Lengua y sociedad,5,Peru: Lima: Instituto Indigenista Interamericano / Instituto de Estudios Peruanos,,,,,,
29,"{""gbs"": {}}",geppshup,Epps 2008,A grammar of Hup,,,,book,"Epps, Patience",2008,A grammar of Hup,,,,xxiii+983,,,,,,,,Mouton Grammar Library,43,Berlin: Mouton de Gruyter,,,,,,
50,"{""gbs"": {}}",golawskyurarina,Olawsky 2006,A Grammar of Urarina,,,,book,"Olawsky, Knut",2006,A Grammar of Urarina,,,,xviii+943,,,,,,,,Mouton Grammar Library,37,Berlin: Mouton de Gruyter,,,,,,
175,"{""gbs"": {}}",typgaluciomekens,Vilacy Galucio 2011,Subordinate adverbial constructions in Mekens,,,,incollection,"Vilacy Galucio, Ana",2011,Subordinate adverbial constructions in Mekens,,"Subordination in native South American languages,","van Gijn, Rik and Haude, Katharina and Muysken, Pieter",25-44,,,,,,,,,,Amsterdam: John Benjamins,,,,,,
37,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 391, ""previewLink"": ""http://books.google.de/books?id=ojopnwEACAAJ&dq=inauthor:Alejandra+Vidal+intitle:Pilag%C3%A1+Grammar+(Guaykuruan+Family,+Argentina)&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2001"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:841553614"", ""type"": ""OTHER""}], ""authors"": [""Alejandra Vidal""], ""title"": ""Pilag\u00e1 Grammar (Guaykuruan Family, Argentina)"", ""infoLink"": ""http://books.google.de/books?id=ojopnwEACAAJ&dq=inauthor:Alejandra+Vidal+intitle:Pilag%C3%A1+Grammar+(Guaykuruan+Family,+Argentina)&hl=&source=gbs_api"", ""categories"": [""Pilaga language""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Pilag%C3%A1_Grammar_Guaykuruan_Family_Argent.html?hl=&id=ojopnwEACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""gg5mRRmXb34"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=ojopnwEACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""ojopnwEACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/ojopnwEACAAJ""}}",gvidalpilaga,Vidal 2001,"Pilagá Grammar (Guaykuruan Family, Argentina)",,,ojopnwEACAAJ,phdthesis,"Vidal, Alejandra",2001,"Pilagá Grammar (Guaykuruan Family, Argentina)",,,,xviii+390,,,University of Oregon,,,,,,,,,,,,,
38,"{""gbs"": {}}",gweberhuallaga1989,Weber 1989,A Grammar Huallaga (Huánuco) Quechua,,,,book,"Weber, David John",1989,A Grammar Huallaga (Huánuco) Quechua,,,,xxv+490,,,,,,,,University of California Publications in Linguistics,112,Berkeley and Los Angeles: University of California Press,,,,,,
39,"{""gbs"": {}}",gnardiquichuasantiageno,Nardi et al. 2002,Introducción al quichua santiagueño,,,,book,"Nardi, Ricardo L. J. and Albarracín, Lelia Inés and Tebes, Mario Cayetano",2002,Introducción al quichua santiagueño,,,,176,,,,,,,,,,Buenos Aires: Ed. Dunken,,,,,,
40,"{""gbs"": {}}",staylorlaraos,Taylor 1990,"Le dialecte quechua de Laraos, Yauyos: étude morphologique",,,,article,"Taylor, Gerald",1990,"Le dialecte quechua de Laraos, Yauyos: étude morphologique",,,,293-325,,Bulletin de l'Institut Français d'Etudes Andines,,,,,2,,19,,,,,,,
41,"{""gbs"": {}}",gquesadacajamarca,Quesada 1976,Gramática quechua: Cajamarca-Cañaris,,,,book,"Quesada, Félix",1976,Gramática quechua: Cajamarca-Cañaris,,,,190,,,,,,,,,,Lima: Ministerio de Educación/IEP,,,,,,
42,"{""gbs"": {}}",gcoleimbabura,Cole 1982,Imbabura Quechua,,,,book,"Cole, Peter",1982,Imbabura Quechua,,,,vii+233,,,,,,,,Lingua Descriptive Studies,5,"Amsterdam: North-Holland, Amsterdam",,,,,,
43,"{""gbs"": {}}",sadelaarquechuapacaraos,Adelaar 1987,Morfología del Quechua de Pacaraos,,,,book,"Adelaar, Willem F. H.",1987,Morfología del Quechua de Pacaraos,,,,110,,,,Lima,,,,,,Lima: Universidad Nacional de San Marcos,,,,,,
44,"{""gbs"": {}}",gweberetalquechuasanmartin,Weber et al. 1976,Gramática quechua: San Martín,,,,book,"Weber, Robert L. and Coombs, Heidi and Coombs, David M.",1976,Gramática quechua: San Martín,,,,222,,,,,,,,,,Lima: Ministerio de Educación,,,,,,
45,"{""gbs"": {}}",gparkerancashhuailas,Parker 1976,Gramática quechua: Ancash-Huailas,,,,book,"Parker, Gary",1976,Gramática quechua: Ancash-Huailas,,,,,,,,Lima,,,,,,Lima: Ministerio de Educación e Instituto de Estudios Peruanos,,,,,,
46,"{""gbs"": {}}",gcerronpalominojuninhuanca,Cerrón-Palomino 1976,Gramática quechua: Junín/Huanca,,,,book,"Cerrón-Palomino, Rodolfo",1976,Gramática quechua: Junín/Huanca,,,,283,,,,,,,,,,Lima: Ministerio de Educación/IEP,,,,,,
47,"{""gbs"": {}}",galvestimbira,de Castro Alves 2004,O Timbira Falado Pelos Canela Apãniekrá: Uma Contribução aos Estudos da Morfossintaxe de uma Língua Jê,,,,phdthesis,"de Castro Alves, Flávia",2004,O Timbira Falado Pelos Canela Apãniekrá: Uma Contribução aos Estudos da Morfossintaxe de uma Língua Jê,,,,178,,,São Paulo: Universidad Estadual de Campinas,,,,,,,,,,,,,
48,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""subtitle"": ""a Nambikwaran language"", ""language"": ""en"", ""pageCount"": 255, ""imageLinks"": {""smallThumbnail"": ""http://bks9.books.google.de/books?id=FAobAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks9.books.google.de/books?id=FAobAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=FAobAQAAIAAJ&q=inauthor:Antunes+de+Araujo,+Gabriel+intitle:A+Grammar+of+Saban%C3%AA:+A+Nambikwaran+Language&dq=inauthor:Antunes+de+Araujo,+Gabriel+intitle:A+Grammar+of+Saban%C3%AA:+A+Nambikwaran+Language&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2004"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""9076864594"", ""type"": ""ISBN_10""}, {""identifier"": ""9789076864594"", ""type"": ""ISBN_13""}], ""authors"": [""Gabriel Antunes de Araujo""], ""title"": ""A grammar of Saban\u00e9"", ""infoLink"": ""http://books.google.de/books?id=FAobAQAAIAAJ&dq=inauthor:Antunes+de+Araujo,+Gabriel+intitle:A+Grammar+of+Saban%C3%AA:+A+Nambikwaran+Language&hl=&source=gbs_api"", ""categories"": [""Nambicuara Indians""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_grammar_of_Saban%C3%A9.html?hl=&id=FAobAQAAIAAJ""}, ""searchInfo"": {""textSnippet"": ""a <b>Nambikwaran language Gabriel</b> Antunes <b>de Araujo</b>. Samenvatting. (Summary. <br>\nin. Dutch). Dit proefschrift biedt een taalkundige beschrijving van het <b>Saban\u00ea</b>. <br>\neen taal die behoort tot <b>de</b> Nambikwara-familie. <b>De Saban\u00ea</b> wonen verdeeld over<br>\n&nbsp;...""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""rwZoKv6A56E"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=FAobAQAAIAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""FAobAQAAIAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/FAobAQAAIAAJ""}}",gdearaujosabane,Antunes de Araujo 2004,A Grammar of Sabanê: A Nambikwaran Language,,,FAobAQAAIAAJ,phdthesis,"Antunes de Araujo, Gabriel",2004,A Grammar of Sabanê: A Nambikwaran Language,,,,iii+255,,,Vrije Universiteit Amsterdam,,,,,LOT Dissertation Series,94,,,,,,,
49,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 1029, ""previewLink"": ""http://books.google.de/books?id=ih5LewAACAAJ&dq=inauthor:Pilar+M.+Valenzuela+intitle:Transitivity+in+Shipibo-Konibo+Grammar&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2003"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:665183276"", ""type"": ""OTHER""}], ""authors"": [""Pilar M. Valenzuela""], ""title"": ""Transitivity in Shipibo-Konibo Grammar"", ""infoLink"": ""http://books.google.de/books?id=ih5LewAACAAJ&dq=inauthor:Pilar+M.+Valenzuela+intitle:Transitivity+in+Shipibo-Konibo+Grammar&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""http://books.google.de/books/about/Transitivity_in_Shipibo_Konibo_Grammar.html?hl=&id=ih5LewAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""CKGkag1CkzM"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=ih5LewAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""ih5LewAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/ih5LewAACAAJ""}}",gvalenzuelashipibokonibo,Valenzuela 2003,Transitivity in Shipibo-Konibo Grammar,,,ih5LewAACAAJ,phdthesis,"Valenzuela, Pilar M.",2003,Transitivity in Shipibo-Konibo Grammar,,,,xxxiv+1029,,,University of Oregon,,,,,,,,,,,,,
51,"{""gbs"": {}}",ghannssuchumataqu,Hannß 2008,Uchumataqu: The lost language of the Urus of Bolivia. A grammatical description of the language as documented between 1894 and 1952,,,,book,"Hannß, Katja",2008,Uchumataqu: The lost language of the Urus of Bolivia. A grammatical description of the language as documented between 1894 and 1952,,,,330,,,,Leiden,,PhD 2008 Radboud Universiteit Nijmegen,,Indigenous Languages of Latin America,7,"Leiden: Research School of Asian, African and Amerindian Studies (CNWS), Universiteit Leiden",,,,,,
52,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""description"": ""This thesis is a grammar of Aguaruna, a Jivaroan language of Northern Peru. Aguaruna is spoken in the Eastern foothills of the Andes, and has typological similarities to both Amazonian and Andean languages. The most salient typological features are AOV constituent order, nominative-accusative profile, combined head and dependent marking and highly hypotactic (clause-chaining) syntax. The thesis consists of 13 chapters. The first is a general introduction to the Aguaruna language and people, the second covers phonology and the third word classes. Chapter 4 describes the morphology of nouns and adjectives, and Chapter 5 describes the composition of the noun phrase. Chapters 6 to 10 describe all aspects of verbal morphology, including relativised and nominalised verbs. Chapter 11 covers the structure of the clause, and Chapter 12 describes clause combining. Chapter 13 addresses some issues in discourse organisation. Two complete texts and extracts from a third are appended, fully glossed and translated. This is the first grammar to address issues in Aguaruna morphology and syntax in detail, and also proposes a revised analysis of Proto-Jivaroan phonology."", ""language"": ""en"", ""pageCount"": 588, ""previewLink"": ""http://books.google.de/books?id=rZrLtwAACAAJ&dq=inauthor:Overall,+Simon+intitle:A+Grammar+of+Aguaruna&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2007"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:277163525"", ""type"": ""OTHER""}], ""authors"": [""Simon E. Overall""], ""title"": ""A Grammar of Aguaruna"", ""infoLink"": ""http://books.google.de/books?id=rZrLtwAACAAJ&dq=inauthor:Overall,+Simon+intitle:A+Grammar+of+Aguaruna&hl=&source=gbs_api"", ""categories"": [""Aguaruna Indians""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Grammar_of_Aguaruna.html?hl=&id=rZrLtwAACAAJ""}, ""searchInfo"": {""textSnippet"": ""This is the first grammar to address issues in Aguaruna morphology and syntax in detail, and also proposes a revised analysis of Proto-Jivaroan phonology.""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""dSQjifIlp9o"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=rZrLtwAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""rZrLtwAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/rZrLtwAACAAJ""}}",goverallaguaruna,Overall 2007,A Grammar of Aguaruna,,,rZrLtwAACAAJ,phdthesis,"Overall, Simon",2007,A Grammar of Aguaruna,,,,611,,,LaTrobe University,,,,,,,,,,,,,
53,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""es"", ""pageCount"": 283, ""imageLinks"": {""smallThumbnail"": ""http://bks0.books.google.de/books?id=-bUuAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks0.books.google.de/books?id=-bUuAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=-bUuAAAAYAAJ&q=inauthor:Duff-Tripp,+Martha+intitle:Gram%C3%A1tica+del+idioma+yanesha'+(amuesha)+inpublisher:Ministerio+de+Educaci%C3%B3n+and+Instituto+Ling%C3%BC%C3%ADstico+de+Verano&dq=inauthor:Duff-Tripp,+Martha+intitle:Gram%C3%A1tica+del+idioma+yanesha'+(amuesha)+inpublisher:Ministerio+de+Educaci%C3%B3n+and+Instituto+Ling%C3%BC%C3%ADstico+de+Verano&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1997"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""UTEXAS:059173004497040"", ""type"": ""OTHER""}], ""authors"": [""Martha Duff-Tripp""], ""title"": ""Gram\u00e1tica del idioma yanesha' (amuesha)"", ""infoLink"": ""http://books.google.de/books?id=-bUuAAAAYAAJ&dq=inauthor:Duff-Tripp,+Martha+intitle:Gram%C3%A1tica+del+idioma+yanesha'+(amuesha)+inpublisher:Ministerio+de+Educaci%C3%B3n+and+Instituto+Ling%C3%BC%C3%ADstico+de+Verano&hl=&source=gbs_api"", ""categories"": [""Amuesha language""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Gram%C3%A1tica_del_idioma_yanesha_amuesha.html?hl=&id=-bUuAAAAYAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""uZpabAanSNA"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=-bUuAAAAYAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""-bUuAAAAYAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/-bUuAAAAYAAJ""}}",gdufftrippamuesha,Duff-Tripp 1997,Gramática del idioma yanesha' (amuesha),,,-bUuAAAAYAAJ,book,"Duff-Tripp, Martha",1997,Gramática del idioma yanesha' (amuesha),,,,283,,,,Lima,"http://www.sil.org/acpub/repository/slp43.pdf,http://www.sil.org/acpub/repository/slp43-sample.pdf",,,Serie Lingüística Peruana,43,Lima: Ministerio de Educación and Instituto Lingüístico de Verano,,,,,,
54,"{""gbs"": {}}",gsmeetsmapuche,Smeets 2008,A grammar of Mapuche,,,,book,"Smeets, Ineke",2008,A grammar of Mapuche,,,,587,,,,Berlin,,,,Mouton Grammar Library,41,Berlin: Mouton de Gruyter,,,,,,
55,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 594, ""previewLink"": ""http://books.google.de/books?id=ERFoNwAACAAJ&dq=inauthor:Gabas,+Jr.,+Nilson+intitle:A+Grammar+of+Karo,+Tup%C3%AD+(Brazil)&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1999"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:46341757"", ""type"": ""OTHER""}], ""authors"": [""Nilson Gabas (Jr.)""], ""title"": ""A Grammar of Karo, Tup\u00ed (Brazil)"", ""infoLink"": ""http://books.google.de/books?id=ERFoNwAACAAJ&dq=inauthor:Gabas,+Jr.,+Nilson+intitle:A+Grammar+of+Karo,+Tup%C3%AD+(Brazil)&hl=&source=gbs_api"", ""categories"": [""Karo language (Brazil)""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Grammar_of_Karo_Tup%C3%AD_Brazil.html?hl=&id=ERFoNwAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""AdM2l+hsNgM"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=ERFoNwAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""ERFoNwAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/ERFoNwAACAAJ""}}",ggabaskaro,Gabas 1999,"A Grammar of Karo, Tupí (Brazil)",,,ERFoNwAACAAJ,phdthesis,"Gabas, Jr., Nilson",1999,"A Grammar of Karo, Tupí (Brazil)",,,,xxiii+297,,,Santa Barbara: University of California,Ann Arbor,,,,,,,,,,,,
