ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Contributor,Reference,Example_Reference
ARW1-NOCODE_Apolista,NOCODE_Apolista,ARW1,?,ARW1-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-1-03a-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-03a,1,ARW1-1-03a-0,,,Swintha Danielsen 2008-05-25,,
ARW1-1-03b-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-03b,1,ARW1-1-03b-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-1-05-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-05,1,ARW1-1-05-1,,,Swintha Danielsen 2008-05-25,,
ARW1-1-06-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-06,1,ARW1-1-06-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-1-07-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-07,1,ARW1-1-07-1,,,Swintha Danielsen 2008-05-25,,
ARW1-1-08-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-08,1,ARW1-1-08-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-1-09-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-09,1,ARW1-1-09-0,,,Swintha Danielsen 2008-05-25,,
ARW1-1-09a-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-09a,1,ARW1-1-09a-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-1-09b-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-09b,1,ARW1-1-09b-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-1-10-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-10,1,ARW1-1-10-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-1-11-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-11,1,ARW1-1-11-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-1-12-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-12,1,ARW1-1-12-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-1-13a-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-13a,1,ARW1-1-13a-0,,,Swintha Danielsen 2008-05-25,,
ARW1-1-15-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-15,1,ARW1-1-15-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-1-16-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-16,1,ARW1-1-16-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-1-17-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-17,1,ARW1-1-17-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-1-18-NOCODE_Apolista,NOCODE_Apolista,ARW1-1-18,1,ARW1-1-18-NK,,,Swintha Danielsen 2008-05-25,,
ARW1-2-02-NOCODE_Apolista,NOCODE_Apolista,ARW1-2-02,2,ARW1-2-02-0,maybe after vowel elision,,Swintha Danielsen 2008-05-25,,
ARW1-2-03a-NOCODE_Apolista,NOCODE_Apolista,ARW1-2-03a,2,ARW1-2-03a-1,,,Swintha Danielsen 2008-05-25,,
ARW1-2-04-NOCODE_Apolista,NOCODE_Apolista,ARW1-2-04,2,ARW1-2-04-0,,,Swintha Danielsen 2008-05-25,,
ARW10-NOCODE_Apolista,NOCODE_Apolista,ARW10,?,ARW10-NK,,,Swintha Danielsen 2008-05-25,,
ARW11-NOCODE_Apolista,NOCODE_Apolista,ARW11,1,ARW11-1,,,Swintha Danielsen 2008-05-25,,
ARW12-NOCODE_Apolista,NOCODE_Apolista,ARW12,0,ARW12-0,,,Swintha Danielsen 2008-05-25,,
ARW13-NOCODE_Apolista,NOCODE_Apolista,ARW13,1,ARW13-1,,,Swintha Danielsen 2008-05-25,,
ARW14-NOCODE_Apolista,NOCODE_Apolista,ARW14,1,ARW14-1,,,Swintha Danielsen 2008-05-25,,
ARW15-NOCODE_Apolista,NOCODE_Apolista,ARW15,?,ARW15-NK,,,Swintha Danielsen 2008-05-25,,
ARW16-NOCODE_Apolista,NOCODE_Apolista,ARW16,1,ARW16-1,,,Swintha Danielsen 2008-05-25,,
ARW17-NOCODE_Apolista,NOCODE_Apolista,ARW17,1,ARW17-1,,,Swintha Danielsen 2008-05-25,,
ARW18-NOCODE_Apolista,NOCODE_Apolista,ARW18,1,ARW18-1,,,Swintha Danielsen 2008-05-25,,
ARW19-NOCODE_Apolista,NOCODE_Apolista,ARW19,?,ARW19-NK,,,Swintha Danielsen 2008-05-25,,
ARW2-NOCODE_Apolista,NOCODE_Apolista,ARW2,?,ARW2-NK,,,Swintha Danielsen 2008-05-25,,
ARW2-1-01-NOCODE_Apolista,NOCODE_Apolista,ARW2-1-01,1,ARW2-1-01-NK,,,Swintha Danielsen 2008-05-25,,
ARW2-1-02a-NOCODE_Apolista,NOCODE_Apolista,ARW2-1-02a,1,ARW2-1-02a-NK,,,Swintha Danielsen 2008-05-25,,
ARW2-1-03a-NOCODE_Apolista,NOCODE_Apolista,ARW2-1-03a,1,ARW2-1-03a-NK,,,Swintha Danielsen 2008-05-25,,
ARW2-1-03b-NOCODE_Apolista,NOCODE_Apolista,ARW2-1-03b,1,ARW2-1-03b-NK,,,Swintha Danielsen 2008-05-25,,
ARW2-1-05a-NOCODE_Apolista,NOCODE_Apolista,ARW2-1-05a,1,ARW2-1-05a-NK,,,Swintha Danielsen 2008-05-25,,
ARW2-1-05b-NOCODE_Apolista,NOCODE_Apolista,ARW2-1-05b,1,ARW2-1-05b-NK,,,Swintha Danielsen 2008-05-25,,
ARW2-1-05c-NOCODE_Apolista,NOCODE_Apolista,ARW2-1-05c,1,ARW2-1-05c-NK,,,Swintha Danielsen 2008-05-25,,
