ID,Parameter_ID,Name,Description
AND1-1,AND1,1,-kuna
AND1-2,AND1,2,-zhapa
AND1-NK,AND1,?,Not known
AND10-1,AND10,1,-ku
AND10-2,AND10,2,-ri
AND10-NK,AND10,?,Not known
AND11-1,AND11,1,-na-chi-
AND11-2,AND11,2,na-ka-chi-
AND11-NK,AND11,?,Not known
AND12-1,AND12,1,-spa
AND12-2,AND12,2,-r
AND12-3,AND12,3,both
AND12-NK,AND12,?,Not known
AND13-1,AND13,1,-qti
AND13-2,AND13,2,-kpi
AND13-NK,AND13,?,Not known
AND14-0,AND14,0,no
AND14-1,AND14,1,yes
AND14-NK,AND14,?,Not known
AND15-0,AND15,0,no
AND15-1,AND15,1,yes
AND15-NK,AND15,?,Not known
AND16-1,AND16,1,-ñaq
AND16-2,AND16,2,shqa
AND16-NK,AND16,?,Not known
AND17-1,AND17,1,-ykiman/ -nkiman; 
AND17-2,AND17,2,-waq
AND17-3,AND17,3,both
AND17-NK,AND17,?,Not known
AND18-1,AND18,1,-nchikman
AND18-2,AND18,2,-chwan
AND18-3,AND18,3,both
AND18-NK,AND18,?,Not known
AND19-1,AND19,1,-yka
AND19-2,AND19,2,-chka
AND19-3,AND19,3,-ku (or reflexes)
AND19-NK,AND19,?,Not known
AND2-1,AND2,1,ñoqayku
AND2-2,AND2,2,ñoqa-kuna
AND2-3,AND2,3,ñoqa-sapa
AND2-4,AND2,4,there is no disticntion
AND2-NK,AND2,?,Not known
AND20-1,AND20,1,-:
AND20-2,AND20,2,-ni
AND20-3,AND20,3,-y
AND20-NK,AND20,?,Not known
AND21-1,AND21,1,-rqayki
AND21-2,AND21,2,-rqanki
AND21-NK,AND21,?,Not known
AND22-1,AND22,1,-ma
AND22-2,AND22,2,-wa
AND22-NK,AND22,?,Not known
AND23-1,AND23,1,-sur(q)anki
AND23-2,AND23,2,-r(q)asunki
AND23-3,AND23,3,none
AND23-NK,AND23,?,Not known
AND24-1,AND24,1,-yki
AND24-2,AND24,2,-q
AND24-3,AND24,3,none
AND24-NK,AND24,?,Not known
AND25-0,AND25,0,absent
AND25-1,AND25,1,-sapa
AND25-2,AND25,2,-pa:ku
AND25-3,AND25,3,-ri/-rka
AND25-4,AND25,4,-naku
AND25-5,AND25,5,-kuna
AND25-6,AND25,6,-ku
AND25-7,AND25,7,different
AND25-NK,AND25,?,Not known
AND26-1,AND26,1,-nuy/-naw
AND26-2,AND26,2,-hina
AND26-NK,AND26,?,Not known
AND3-1,AND3,1,-ta
AND3-2,AND3,2,-pa
AND3-NK,AND3,?,Not known
AND4-0,AND4,0,no
AND4-1,AND4,1,yes
AND4-NK,AND4,?,Not known
AND5-1,AND5,1,identical
AND5-2,AND5,2,different
AND5-NK,AND5,?,Not known
AND6-1,AND6,1,-pi(q)ta
AND6-2,AND6,2,-manta
AND6-3,AND6,3,-paq
AND6-NK,AND6,?,Not known
AND7-1,AND7,1,-chaw/-chu
AND7-2,AND7,2,pi
AND7-3,AND7,3,-pa
AND7-NK,AND7,?,Not known
AND8-0,AND8,0,absent
AND8-1,AND8,1,-y
AND8-2,AND8,2,-yni
AND8-3,AND8,3,-ni
AND8-NK,AND8,?,Not known
AND9-1,AND9,1,-y
AND9-2,AND9,2,-na
AND9-NK,AND9,?,Not known
ARGEX1-1-NK,ARGEX1-1,?,Not known
ARGEX1-1-A,ARGEX1-1,A,SV
ARGEX1-1-B,ARGEX1-1,B,VS
ARGEX1-1-C,ARGEX1-1,C,none
ARGEX1-2-NK,ARGEX1-2,?,Not known
ARGEX1-2-A,ARGEX1-2,A,APV
ARGEX1-2-B,ARGEX1-2,B,AVP
ARGEX1-2-C,ARGEX1-2,C,VPA
ARGEX1-2-D,ARGEX1-2,D,VAP
ARGEX1-2-E,ARGEX1-2,E,PVA
ARGEX1-2-F,ARGEX1-2,F,PAV
ARGEX1-2-G,ARGEX1-2,G,none
ARGEX1-3-NK,ARGEX1-3,?,Not known
ARGEX1-3-A,ARGEX1-3,A,PV
ARGEX1-3-B,ARGEX1-3,B,VP
ARGEX1-3-C,ARGEX1-3,C,none
ARGEX1-4-NK,ARGEX1-4,?,Not known
ARGEX1-4-A,ARGEX1-4,A,A/V
ARGEX1-4-B,ARGEX1-4,B,T/V
ARGEX1-4-C,ARGEX1-4,C,A/T
ARGEX1-4-D,ARGEX1-4,D,C#
ARGEX1-4-E,ARGEX1-4,E,free
ARGEX1-4-F,ARGEX1-4,F,#C
ARGEX10-1-0,ARGEX10-1,0,false
ARGEX10-1-1,ARGEX10-1,1,true
ARGEX10-1-NK,ARGEX10-1,?,Not known
ARGEX10-2-0,ARGEX10-2,0,false
ARGEX10-2-1,ARGEX10-2,1,true
ARGEX10-2-NK,ARGEX10-2,?,Not known
ARGEX10-3-NK,ARGEX10-3,?,Not known
ARGEX10-3-A,ARGEX10-3,A,obligatory
ARGEX10-3-B,ARGEX10-3,B,optional
ARGEX10-3-C,ARGEX10-3,C,none
ARGEX11-1-0,ARGEX11-1,0,false
ARGEX11-1-1,ARGEX11-1,1,true
ARGEX11-1-NK,ARGEX11-1,?,Not known
ARGEX11-2-0,ARGEX11-2,0,false
ARGEX11-2-1,ARGEX11-2,1,true
ARGEX11-2-NK,ARGEX11-2,?,Not known
ARGEX11-3-NK,ARGEX11-3,?,Not known
ARGEX11-3-A,ARGEX11-3,A,obligatory
ARGEX11-3-B,ARGEX11-3,B,optional
ARGEX11-3-C,ARGEX11-3,C,none
ARGEX11-4-0,ARGEX11-4,0,false
ARGEX11-4-1,ARGEX11-4,1,true
ARGEX11-4-NK,ARGEX11-4,?,Not known
ARGEX12-1-0,ARGEX12-1,0,false
ARGEX12-1-1,ARGEX12-1,1,true
ARGEX12-1-1-0,ARGEX12-1-1,0,false
ARGEX12-1-1-1,ARGEX12-1-1,1,true
ARGEX12-1-1-NK,ARGEX12-1-1,?,Not known
ARGEX12-1-1-NA,ARGEX12-1-1,N/A,Not Applicable
ARGEX12-1-NK,ARGEX12-1,?,Not known
ARGEX2-1-1-NK,ARGEX2-1-1,?,Not known
ARGEX2-1-1-A,ARGEX2-1-1,A,obligatory
ARGEX2-1-1-B,ARGEX2-1-1,B,variable
ARGEX2-1-1-C,ARGEX2-1-1,C,not expressed
ARGEX2-1-1-NA,ARGEX2-1-1,N/A,Not Applicable
ARGEX2-1-NK,ARGEX2-1,?,Not known
ARGEX2-1-A,ARGEX2-1,A,prefix/proclitic
ARGEX2-1-B,ARGEX2-1,B,suffix/enclitic
ARGEX2-1-C,ARGEX2-1,C,variable
ARGEX2-1-D,ARGEX2-1,D,none
ARGEX2-10-0,ARGEX2-10,0,false
ARGEX2-10-1,ARGEX2-10,1,true
ARGEX2-10-1-0,ARGEX2-10-1,0,false
ARGEX2-10-1-1,ARGEX2-10-1,1,true
ARGEX2-10-1-NK,ARGEX2-10-1,?,Not known
ARGEX2-10-1-NA,ARGEX2-10-1,N/A,Not Applicable
ARGEX2-10-NK,ARGEX2-10,?,Not known
ARGEX2-11-NK,ARGEX2-11,?,Not known
ARGEX2-11-A,ARGEX2-11,A,A before P
ARGEX2-11-B,ARGEX2-11,B,P before A
ARGEX2-11-C,ARGEX2-11,C,hierarchical
ARGEX2-11-D,ARGEX2-11,D,portmanteau
ARGEX2-11-E,ARGEX2-11,E,A and P not marked
ARGEX2-12-NK,ARGEX2-12,?,Not known
ARGEX2-12-A,ARGEX2-12,A,marked
ARGEX2-12-B,ARGEX2-12,B,unmarked
ARGEX2-12-C,ARGEX2-12,C,no gender
ARGEX2-13-NK,ARGEX2-13,?,Not known
ARGEX2-13-A,ARGEX2-13,A,yes
ARGEX2-13-B,ARGEX2-13,B,no
ARGEX2-13-C,ARGEX2-13,C,no verbal marking
ARGEX2-14-0,ARGEX2-14,0,false
ARGEX2-14-1,ARGEX2-14,1,true
ARGEX2-14-NK,ARGEX2-14,?,Not known
ARGEX2-15-NK,ARGEX2-15,?,Not known
ARGEX2-15-A,ARGEX2-15,A,accusative
ARGEX2-15-B,ARGEX2-15,B,ergative
ARGEX2-15-C,ARGEX2-15,C,tripartite
ARGEX2-15-D,ARGEX2-15,D,neutral
ARGEX2-15-E,ARGEX2-15,E,none
ARGEX2-2-NK,ARGEX2-2,?,Not known
ARGEX2-2-A,ARGEX2-2,A,independent prefix/proclitic
